,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99
1,2MASS J00040288-6410358,192.0,19.0,1.63
2,LHS 102BC,37.7,79.0,1.09
3,2MASS J00242463-0158201,143.0,31.0,1.44
4,2MASS J00250365+4759191AB,236.0,54.0,0.98
5,2MASS J00274197+0503417,46.9,29.0,1.43
6,2MASS J00275592+2219328,87.2,42.0,0.94
7,2MASSW J0030300-145033,131.0,42.0,0.94
8,2MASS J00332386-1521309 [de],31.0,23.0,1.62
9,2MASS J00345157+0523050,28.6,12.0,1.3
10,2MASS 0036+1821,57.0,40.0,0.94
11,2MASSW J0045214+163445,40.0,29.0,1.43
12,WISEP J004701.06+680352.1 [fr],34.0,23.0,0.98
13,2MASS J00501994-3322402 [de],96.0,52.0,0.98
14,2MASS J00034227-2822410,30.0,52.0,1.62
15,2MASS J00584253-0651239 [de],70.0,20.0,1.61
16,CFBDS J005910.90–011401.3,51.0,20.0,0.97
17,2MASSI J0103320+193536,163.0,47.0,0.97
18,SDSSp J010752.33+004156.1 [de],130.0,47.0,1.53
19,2MASSI J0117474-340325 [de],70.0,15.0,1.62
20,2MASS J01415823-4633574 [de],65.0,20.0,1.41
21,SDSS J015141.69+124429.6,65.0,27.0,0.99
22,DENIS-P J020529.0−115925A,65.0,33.0,1.08
23,DENIS-P J020529.0−115925B,111.0,78.0,1.27
24,DENIS-P J020529.0−115925C,101.0,80.0,1.9
25,SDSS J020742.48+000056.2 [de],155.0,65.0,1.9
26,2MASS J02103857-3015313,152.0,65.0,0.97
27,2MASS J02340093-6442068,35.0,80.0,0.97
28,2MASS J02411151-0326587 [de],53.0,49.0,1.15
29,2MASS J02431371−2453298,12.578,88.0,1.66
30,LP 771-21,184.0,23.0,0.95
31,2MASS J02511327+0047364,24.0,45.0,1.3
32,Teegarden's star,16.2,18.0,0.98
33,2MASS J02535980+3206373,45.0,54.0,1.04
34,WISE J0254+0223,47.0,73.0,1.43
35,DEN 0255-4700,192.0,73.0,1.05
36,2MASS J03185403-3421292 [de],59.0,74.0,3.78
37,2MASS J03205965+1854233,80.0,55.0,1.27
38,2MASS J03231002-4631237,98.0,102.0,1.32
39,SDSS J032553.17+042540.1,27.0,20.0,0.95
40,2MASS J03264225-2102057 [de],20.9,30.0,1.09
41,2MASS J03284265+2302051 [de],88.0,80.0,1.26
42,2MASS J03341218-4953322,380.0,100.0,1.97
43,LP 944-20,48.0,39.0,0.97
44,2MASP J0345432+254023,29.8,48.0,1.78
45,Teide 1,130.0,19.0,1.0
46,2MASS J03510004-0052452,18.6,22.0,72.0
47,2MASS J03552337+1133437,50.0,64.0,1.0
48,DENIS-P J035726.9-441730 [de],85.0,1.04,1.38
49,2MASS J04151954−0935066,34.0,64.0,0.97
50,SDSSp J042348.57-041403.5 [de],142.0,21.0,1.01
51,2MASS J04285096-2253227 [de],29.5,47.0,1.01
52,2MASS J04351612-1606574,470.0,68.0,1.41
53,2MASS J04362788-4114465,82.0,83.0,1.51
54,2MASS J04390101-2353083 [de],42.0,61.0,0.99
55,2MASS J04414489+2301513,69.0,28.0,1.01
56,2MASS J04433764+0002040,44.0,38.0,1.05
57,2MASS J04455387-3048204 [de],64.0,65.0,1.03
58,2MASS J04510093-3402150 [de],73.0,53.0,0.98
59,2MASS J05002100+0330501 [de],40.0,56.0,0.94
