,index,Star_name,Distance,Mass,Radius
0,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
1,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998
2,2,LHS 102BC,37.7,0.075412452,0.11201167000000001
3,3,2MASS J00242463-0158201,143.0,0.029592228,0.14797871999999998
4,4,2MASS J00250365+4759191AB,236.0,0.051547752,0.10070773999999999
5,5,2MASS J00274197+0503417,46.9,0.027683052,0.14695108999999998
6,6,2MASS J00275592+2219328,87.2,0.040092696000000004,0.09659721999999998
7,7,2MASSW J0030300-145033,131.0,0.040092696000000004,0.09659721999999998
8,8,2MASS J00332386-1521309 [de],31.0,0.021955524,0.16647606
9,9,2MASS J00345157+0523050,28.6,0.011455056,0.13359189999999999
10,10,2MASS 0036+1821,57.0,0.03818352,0.09659721999999998
11,11,2MASSW J0045214+163445,40.0,0.027683052,0.14695108999999998
12,12,WISEP J004701.06+680352.1 [fr],34.0,0.021955524,0.10070773999999999
13,13,2MASS J00501994-3322402 [de],96.0,0.049638576000000004,0.10070773999999999
14,14,2MASS J00034227-2822410,30.0,0.049638576000000004,0.16647606
15,15,2MASS J00584253-0651239 [de],70.0,0.01909176,0.16544843
16,16,CFBDS J005910.90–011401.3,51.0,0.01909176,0.09968010999999999
17,17,2MASSI J0103320+193536,163.0,0.044865636,0.09968010999999999
18,18,SDSSp J010752.33+004156.1 [de],130.0,0.044865636,0.15722739
19,19,2MASSI J0117474-340325 [de],70.0,0.014318820000000001,0.16647606
20,20,2MASS J01415823-4633574 [de],65.0,0.01909176,0.14489582999999998
21,21,SDSS J015141.69+124429.6,65.0,0.025773876,0.10173536999999999
22,22,DENIS-P J020529.0−115925A,65.0,0.031501404000000004,0.11098404
23,23,DENIS-P J020529.0−115925B,111.0,0.074457864,0.13050900999999998
24,24,DENIS-P J020529.0−115925C,101.0,0.07636704,0.19524969999999997
25,25,SDSS J020742.48+000056.2 [de],155.0,0.06204822,0.19524969999999997
26,26,2MASS J02103857-3015313,152.0,0.06204822,0.09968010999999999
27,27,2MASS J02340093-6442068,35.0,0.07636704,0.09968010999999999
28,28,2MASS J02411151-0326587 [de],53.0,0.046774812,0.11817744999999999
29,29,2MASS J02431371−2453298,12.578,0.084003744,0.17058658
30,30,LP 771-21,184.0,0.021955524,0.09762484999999999
31,31,2MASS J02511327+0047364,24.0,0.04295646,0.13359189999999999
32,32,Teegarden's star,16.2,0.017182584,0.10070773999999999
33,33,2MASS J02535980+3206373,45.0,0.051547752,0.10687352
34,34,WISE J0254+0223,47.0,0.069684924,0.14695108999999998
35,35,DEN 0255-4700,192.0,0.069684924,0.10790115
36,36,2MASS J03185403-3421292 [de],59.0,0.070639512,0.38844413999999994
37,37,2MASS J03205965+1854233,80.0,0.05250234,0.13050900999999998
38,38,2MASS J03231002-4631237,98.0,0.09736797600000001,0.13564716
39,39,SDSS J032553.17+042540.1,27.0,0.01909176,0.09762484999999999
40,40,2MASS J03264225-2102057 [de],20.9,0.028637640000000002,0.11201167000000001
41,41,2MASS J03284265+2302051 [de],88.0,0.07636704,0.12948137999999998
42,42,2MASS J03341218-4953322,380.0,0.0954588,0.20244310999999998
43,43,LP 944-20,48.0,0.037228932,0.09968010999999999
44,44,2MASP J0345432+254023,29.8,0.045820224,0.18291813999999998
45,45,Teide 1,130.0,0.018137172,0.102763
46,46,2MASS J03510004-0052452,18.6,0.021000936,7.398935999999999
47,47,2MASS J03552337+1133437,50.0,0.061093632,0.102763
48,48,DENIS-P J035726.9-441730 [de],85.0,0.00099277152,0.14181293999999997
49,49,2MASS J04151954−0935066,34.0,0.061093632,0.09968010999999999
50,50,SDSSp J042348.57-041403.5 [de],142.0,0.020046348000000002,0.10379063
51,51,2MASS J04285096-2253227 [de],29.5,0.044865636,0.10379063
52,52,2MASS J04351612-1606574,470.0,0.064911984,0.14489582999999998
53,53,2MASS J04362788-4114465,82.0,0.079230804,0.15517213
54,54,2MASS J04390101-2353083 [de],42.0,0.058229868000000004,0.10173536999999999
55,55,2MASS J04414489+2301513,69.0,0.026728464,0.10379063
56,56,2MASS J04433764+0002040,44.0,0.036274344,0.10790115
57,57,2MASS J04455387-3048204 [de],64.0,0.06204822,0.10584589
58,58,2MASS J04510093-3402150 [de],73.0,0.050593164,0.10070773999999999
59,59,2MASS J05002100+0330501 [de],40.0,0.053456928,0.09659721999999998
60,60,2MASS J05012406-0010452 [de],81.0,0.063957396,0.09659721999999998
61,61,2MASS J05160945-0445499 [de],41.62,0.07159410000000001,0.09659721999999998
62,62,2MASS J0523−1403,34.0,0.068730336,0.10584589
63,63,2MASS 0532+8246,34.6,0.024819288000000002,6.987883999999999
64,64,SDSS J053951.99-005902.0,102.0,0.039138108,0.09659721999999998
65,65,2MASS J05591914-1404488 [de],69.0,0.035319756,0.10070773999999999
66,66,LSR 0602+3910 [de],69.0,0.041047284,0.10173536999999999
67,67,2MASS J06085283-2753583,39.0,0.067775748,0.11817744999999999
68,68,WISEP J061135.13-041024.0A,65.0,0.00191872188,0.09865247999999999
69,69,WISEP J061135.13-041024.0B,51.0,0.042001872,0.102763
70,70,2MASS J06244595-4521548 [de],40.0,0.042001872,0.102763
71,71,2MASS J06411840-4322329 [de],60.0,0.026728464,0.10995641
72,72,DENIS-P J0652197-253450 [de],13.4,0.049638576000000004,0.10070773999999999
73,73,2MASS J07003664+3157266 [de],29.6,0.045820224,0.09659721999999998
74,74,2MASS J07075327-4900503,25.8,0.084003744,0.09762484999999999
75,75,UGPS J072227.51-054031.2,49.0,0.043911048,0.09865247999999999
76,76,2MASSI J0727182+171001 [de],49.6,0.059184456,0.09659721999999998
77,77,2MASS J07290002-3954043 [de],55.0,0.061093632,0.10070773999999999
78,78,SDSS J074201.41+205520.5 [de],60.0,0.073503276,0.14489582999999998
79,79,2MASS J0746425+200032 [fr],16.1,0.0477294,0.09968010999999999
80,80,DENIS-P J0751164-253043 [de],67.0,0.040092696000000004,0.09659721999999998
81,81,2MASS J07522390+1612157,67.0,0.030546816,0.10995641
82,82,DENIS J081730.0-615520,35.0,0.046774812,0.10481826
83,83,DENIS J082303.1−491201A,43.0,0.042001872,0.10379063
84,84,DENIS J082303.1−491201B,55.0,0.048683988000000004,0.102763
85,85,2MASS J08251968+2115521 [de],77.0,0.025773876,0.24560357
86,86,SDSSp J083008.12+482847.4 [de],23.53,0.046774812,0.18497339999999998
87,87,LHS 2021,43.0,0.040092696000000004,0.12742612
88,88,SDSS J083048.80+012831.1 [de],27.6,0.073503276,0.09865247999999999
89,89,2MASSI J0835425-081923 [de],50.0,0.041047284,0.2260786
90,90,2MASSI J0847287-153237 [de],95.0,0.03818352,0.1541445
91,91,2MASS J08533619-0329321,20.0,0.061093632,0.102763
92,92,2MASSI J0859254-194926 [de],17.4,0.034365168,0.17572473
93,93,2MASSW J0920122+351742 [de],59.0,0.007636704,0.09659721999999998
94,94,2MASSI J0937347+293142,46.0,0.014318820000000001,0.09659721999999998
95,95,2MASS 0939−2448,55.0,0.008591292,2.5690749999999998
96,96,2MASS J09490860-1545485 [de],108.0,0.031501404000000004,0.10070773999999999
97,97,2MASS J10073369-4555147,95.0,0.028637640000000002,0.10070773999999999
98,98,2MASSI J1010148-040649 [de],60.0,0.035319756,0.10070773999999999
99,99,2MASSI J1017075+130839 [de],53.0,0.061093632,0.10379063
100,100,SDSS J102109.69-030420.1,34.4,0.016227996,0.09968010999999999
101,101,2MASS J10224821+5825453 [de],13.15,0.040092696000000004,0.09659721999999998
102,102,2MASSW J1036530-344138 [de],6.516,0.039138108,0.102763
103,103,2MASS J1047538+212423 [de],6.516,0.001909176,0.09865247999999999
104,104,DEN 1048-3956,49.0,0.044865636,0.10173536999999999
105,105,Luhman 16B,180.0,0.060139044,0.13564716
106,106,Luhman 16A,163.0,0.055366104,0.10892878
107,107,DENIS-P J1058.7−1548,554.0,0.063957396,0.10584589
108,108,TWA 28,63.0,0.048683988000000004,0.12228796999999998
109,109,Cha 110913-773444,18.2,0.042001872,0.10173536999999999
110,110,OTS 44,137.0,0.060139044,0.1541445
111,111,SDSS J111010.01+011613.1,89.0,0.030546816,0.13359189999999999
112,112,2MASS J11145133−2618235,129.0,0.056320692,0.10790115
113,113,TWA 26,31.0,0.020046348000000002,0.09659721999999998
114,114,2MASSW J1146345+223053,217.0,0.072548688,0.09659721999999998
115,115,2MASS J11544223-3400390 [de],36.0,0.068730336,0.10481826
116,116,2MASSW J1155395-372735 [de],43.0,0.087822096,0.10173536999999999
117,117,TWA 27A,66.0,0.056320692,0.11098404
118,118,TWA 27B,45.6,0.0105959268,0.10173536999999999
119,119,2MASS J12074836-3900043,119.0,0.008591292,0.10070773999999999
120,120,2MASSI J1217110-031113 [de],262.0,0.07159410000000001,0.102763
121,121,2MASS J12255432-2739466,38.0,0.042001872,0.09659721999999998
122,122,DENIS-P J1228.2-1547,61.0,0.042001872,0.14695108999999998
123,123,2M 1237+6526,61.0,0.065866572,0.10584589
124,124,2MASSW J1239272+551537 [de],101.0,0.057275280000000005,0.09659721999999998
125,125,TWA 29,65.0,0.075412452,0.09659721999999998
126,126,SDSSp J125453.90-012247.4 [de],48.0,0.054411516,0.10584589
127,127,Kelu-1A,51.0,0.051547752,0.09968010999999999
128,128,Kelu-1B,29.7,0.060139044,0.09659721999999998
129,129,2MASS J13204427+0409045,149.0,0.042001872,0.10687352
130,130,SDSSp J132629.82-003831.5 [de],38.0,0.028637640000000002,0.14386819999999997
131,131,SDSSp J134646.45-003150.4 [de],38.5,0.067775748,0.09968010999999999
132,132,2MASS J13595510-4034582,47.0,0.040092696000000004,0.09762484999999999
133,133,ULAS J141623.94+134836.3,72.0,0.041047284,0.10995641
134,134,SDSS J141659.78+500626.4 [de],47.0,0.067775748,0.10379063
135,135,DENIS-P J142527.97-365023.4 [de],104.0,0.046774812,0.12537086
136,136,LHS 2924,104.0,0.039138108,0.19319443999999997
137,137,2MASS J14392837+1929150,35.1,0.069684924,0.09865247999999999
138,138,LSPM J1440+1339,20.7,0.022910112,0.10481826
139,139,2MASS J14482563+1031590 [de],71.0,0.044865636,0.10481826
140,140,CFBDSIR 1458+10A,46.0,0.04295646,0.15722739
141,141,CFBDSIR 1458+10B,23.9,0.073503276,0.12434322999999999
142,142,TVLM 513-46546,53.0,0.063957396,0.09865247999999999
143,143,2MASS 1503+2525,89.0,0.091640448,0.10173536999999999
144,144,CFBDS J150411+102717,34.0,0.0238647,0.13667479
145,145,2MASSW J1506544+132106 [de],67.0,0.043911048,0.14489582999999998
146,146,2MASS 1507−1627,51.0,0.06682116,0.10173536999999999
147,147,TVLM 868-110639,37.0,0.065866572,0.09659721999999998
148,148,SDSS J151114.66+060742.9 [de],68.0,0.0062048220000000005,0.10687352
149,149,2MASSW J1515008+484742 [de],44.0,0.089731272,0.13256426999999998
150,150,2MASSI J1526140+204341 [de],48.0,0.043911048,0.14284056999999997
151,151,DENIS-P J153941.96-052042.4 [de],36.0,0.05250234,0.16339317
152,152,2MASS J15462718-3325111 [de],110.0,0.021000936,0.11920507999999998
153,153,2MASSW J1552591+294849 [de],50.0,0.025773876,0.11201167000000001
154,154,2MASSW J1555157-095605 [de],28.0,0.058229868000000004,0.12023270999999998
155,155,2MASS J16150413+1340079 [de],60.0,0.040092696000000004,0.4316046
156,156,SDSSp J162414.37+002915.6 [de],114.0,0.069684924,0.39049939999999994
157,157,2MASS J16262034+3925190 [de],79.0,0.011455056,0.08837618
